#{"t_start": 1747184514.6882677, "env_id": "None"}
r,l,t
-4.8373227,17,3.17238
-8.884009,17,3.17239
-9.213553,17,3.172405
-10.458958,17,3.172418
-10.117788,17,3.172431
-7.150004,17,3.172445
-10.610085,17,3.172454
-9.499402,17,3.172471
-6.69849,17,3.172484
-10.36291,17,3.172498
-7.91296,17,3.172508
-8.040287,17,3.172532
-2.6913888,17,3.172542
-8.688444,17,3.172555
-4.585947,17,3.172565
-7.1988597,17,3.172582
-5.0716677,17,3.172595
-5.55198,17,3.172616
-5.356102,17,3.172627
-4.163825,17,3.172639
-6.187625,17,3.172648
-10.99934,17,3.172665
-6.0823026,17,3.172674
-5.1188936,17,3.172684
-7.5608377,17,3.172693
-9.07761,17,3.172703
-3.7194877,17,3.172712
-1.8985345,17,3.172721
-4.7745905,17,3.172733
-1.7069116,17,3.172743
-7.0375323,17,3.172759
-4.151872,17,3.172772
-10.8083935,17,3.172784
-6.0561476,17,3.172796
-4.3260527,17,3.172806
-8.195374,17,3.172817
-9.24682,17,3.17284
-7.8356266,17,3.172849
-4.2766433,17,3.172868
-6.6059933,17,3.172879
-11.887686,17,3.172897
-8.175756,17,3.172909
-7.4975147,17,3.172918
-6.3595095,17,3.172928
-10.117203,17,3.172938
-6.297964,17,3.172954
-10.2155485,17,3.172964
-7.646975,17,3.172973
-1.9231703,17,3.172983
-2.1161523,17,3.172996
-9.274674,17,3.173008
-6.3838487,17,3.173017
-7.703885,17,3.17303
-6.756549,17,3.173039
-4.9759793,17,3.173051
-5.528411,17,3.173064
-9.643788,17,3.173074
-9.41001,17,3.173087
-4.92375,17,3.173096
-8.639411,17,3.173112
-5.4235716,17,3.173124
-4.9429197,17,3.173133
-8.925069,17,3.173149
-9.331898,17,3.173157
-8.720591,17,3.173171
-8.8555355,17,3.173189
-5.0375586,18,3.3629
-12.489307,18,3.362957
-1.4204493,18,3.362967
-6.23017,18,3.362976
-8.83692,18,3.362982
-7.340325,18,3.362988
-7.0309215,18,3.362997
-8.054723,18,3.363003
-4.505377,18,3.363011
-9.691187,18,3.363018
-1.6494417,18,3.363024
-5.547921,18,3.363031
-6.669192,18,3.363037
-5.978544,18,3.363045
-5.9354715,18,3.363051
-6.6813016,18,3.36306
-2.6186287,18,3.363069
-8.530032,18,3.363074
-1.5265839,18,3.363081
-8.799299,18,3.363091
-10.302703,18,3.363098
-4.77332,18,3.363103
-6.9219666,18,3.36311
-7.1315713,18,3.363121
-8.982606,18,3.363128
-6.7292786,18,3.363134
-11.042325,18,3.36314
-6.2675633,18,3.363146
-6.7016087,18,3.363151
-2.3017032,18,3.363158
-7.049879,18,3.363166
-7.9223433,18,3.363176
-5.459094,18,3.363181
-8.354876,18,3.363188
-8.199649,18,3.363195
-7.4065294,18,3.363201
-8.446081,18,3.363209
-8.011669,18,3.363214
-11.683861,18,3.36322
-5.554015,18,3.363226
-8.120525,18,3.363235
-3.2933831,18,3.363243
-9.16032,18,3.363255
-4.1996136,18,3.363262
-10.593295,18,3.363274
-6.5614443,18,3.363282
-6.704403,18,3.363288
-6.763533,18,3.363295
-10.027054,18,3.363312
-9.233778,18,3.363319
-8.056154,18,3.363327
-8.738286,18,3.363333
-4.3309546,18,3.36334
-8.838118,18,3.363349
-10.101486,18,3.363358
-5.00245,18,3.363367
-4.8484325,18,3.363374
-7.270542,18,3.363379
-2.6808777,18,3.363385
-7.3573847,18,3.36339
1.71773,18,3.363402
-9.843647,18,3.363414
-7.7074933,18,3.363425
-3.4645672,18,3.36343
-8.236713,18,3.363438
-5.463457,18,3.363444
-5.337175,18,3.363449
-2.5621333,18,3.363462
-3.9548202,18,3.363471
-8.080963,18,3.363477
-7.8573756,18,3.363485
-6.0460443,18,3.36349
-3.0448146,18,3.363495
-8.911375,18,3.363504
-3.7701771,18,3.363508
-5.763857,18,3.363515
-9.842569,18,3.36352
-1.9749827,18,3.363527
-3.256485,18,3.363533
-9.037253,19,3.544903
-4.389213,19,3.544981
-8.662223,19,3.544991
-8.345785,19,3.544997
-7.223001,19,3.545004
-5.2599726,19,3.545012
-6.1429243,19,3.54502
-0.8023858,19,3.545025
-4.3214006,19,3.545031
-11.636961,19,3.545041
-6.8575625,19,3.545047
-11.025618,19,3.545053
-2.7942603,19,3.545061
-3.3633132,19,3.54507
-9.60029,19,3.545076
-7.3572893,19,3.545086
-8.288469,19,3.545092
-9.906191,19,3.545099
-6.3692503,19,3.545105
-3.0656471,19,3.54511
-10.316877,19,3.545116
-5.5695653,19,3.545129
-3.963357,19,3.545137
-9.084179,19,3.545143
-8.698282,19,3.545161
-2.3214202,19,3.545166
-10.240084,19,3.545181
-5.7090335,19,3.545189
-8.185822,19,3.545195
-9.904131,19,3.5452
-8.237265,19,3.545206
-9.27847,19,3.545211
-11.11828,19,3.545216
-3.3794885,19,3.545221
-6.5773063,19,3.545229
-2.1642146,19,3.545234
-9.250548,19,3.54524
-5.922485,19,3.545248
-7.1136866,19,3.545252
-6.100601,19,3.545263
-2.5493336,19,3.545275
-6.807585,19,3.545288
-10.613603,19,3.545294
-5.405077,19,3.545301
-6.9671855,19,3.545306
-0.5354724,19,3.545314
-5.4886675,19,3.545322
-1.9437435,19,3.545329
-3.763924,19,3.545339
-1.997886,19,3.545349
-5.6162148,19,3.545355
-6.322611,19,3.54536
-8.101336,19,3.545365
-7.583688,19,3.54537
-11.622851,19,3.545377
-7.965494,19,3.545383
-7.7786694,19,3.545389
-6.872483,19,3.545397
-5.214512,19,3.545402
-6.979899,19,3.545409
-3.0627604,19,3.545415
-9.680477,19,3.545422
0.7811637,19,3.545429
-1.7296405,19,3.545434
-9.408984,19,3.545439
-8.220442,19,3.545445
-6.405903,19,3.54545
-9.412995,19,3.545455
-10.743232,19,3.545463
-6.0055027,19,3.545468
-4.2589655,19,3.545474
-7.466831,19,3.54548
-6.288107,19,3.545485
-3.8864636,19,3.545497
-6.3992004,19,3.545502
-9.747545,19,3.545509
-7.4488273,19,3.545514
-7.825698,20,3.730755
-4.6288433,20,3.730818
-7.2015104,20,3.730831
-1.6573329,20,3.73084
-5.355013,20,3.730847
-3.9703908,20,3.730853
-8.01578,20,3.730859
-2.6922808,20,3.730869
-11.127284,20,3.730877
-8.924105,20,3.730882
-5.344142,20,3.730893
-8.4834385,20,3.730901
-5.0334263,20,3.730906
-3.82339,20,3.730911
-3.2109423,20,3.730917
-6.5145073,20,3.730922
-9.317411,20,3.73093
-8.621796,20,3.730938
-7.4761133,20,3.730947
-5.9529734,20,3.730952
-4.067013,20,3.730957
-5.090376,20,3.730973
0.5616584,20,3.730978
-4.478665,20,3.730985
-11.552073,20,3.730994
-1.9892738,20,3.731002
-10.94334,20,3.731007
-4.6846685,20,3.731013
-1.6251872,20,3.731018
-7.819729,20,3.731026
-10.142973,20,3.731032
-5.463663,20,3.731038
