#{"t_start": 1747094223.8235068, "env_id": "None"}
r,l,t
0.8403046,250,37.023676
1.1154771,250,37.02368
1.3646547,250,37.023685
0.823252,250,37.02369
0.6755834,250,37.023694
0.88773435,250,37.023699
0.71506226,250,37.023703
1.0753875,250,37.023708
0.627887,250,37.023713
0.8591115,250,37.023718
0.6906449,250,37.023723
0.741382,250,37.023729
1.0753038,250,37.023734
1.308788,250,37.023739
0.7524428,250,37.023743
0.8379217,250,37.023748
0.90169716,250,37.023752
0.8273211,250,37.023758
1.0561535,250,37.023763
1.0694935,250,37.023768
0.5959535,250,37.023772
0.8654061,250,37.023777
1.1381067,250,37.023782
0.9339729,250,37.023787
0.934161,250,37.023792
1.2591467,250,37.023797
0.9710576,250,37.023802
0.8005994,250,37.023806
0.81459695,250,37.023811
0.7510402,250,37.023815
1.0858717,250,37.02382
0.8488601,250,37.023824
1.0730531,250,37.023829
0.9079108,250,37.023834
0.93141496,250,37.023839
0.8185701,250,37.023844
1.3293443,250,37.023848
1.0035304,250,37.023852
0.8293771,250,37.023857
0.7640069,250,37.023862
0.6545833,250,37.023866
0.7920204,250,37.023871
0.9124871,250,37.023875
0.7615509,250,37.02388
0.9082769,250,37.023885
1.0358697,250,37.023889
0.92050457,250,37.023896
0.8839348,250,37.0239
0.8980945,250,37.023905
1.1629089,250,37.02391
0.85156304,250,37.023914
0.8327041,250,37.023919
0.91104054,250,37.023924
0.835605,250,37.023928
1.3484893,250,37.023932
0.95147836,250,37.023937
0.9798918,250,37.023942
1.1414224,250,37.023949
0.8646627,250,37.023953
0.5903841,250,37.023958
0.8650073,250,37.023964
0.99525166,250,37.023969
0.9104828,250,37.023973
0.9255403,250,37.023978
0.8255804,250,37.023983
1.3016003,250,37.023988
0.78135645,250,37.023992
0.91674924,250,37.023997
0.9709659,250,37.024002
0.89506227,250,37.024007
1.258206,250,37.024012
0.9525605,250,37.024017
0.9405748,250,37.024022
0.93039453,250,37.024026
0.69157225,250,37.024031
0.98681766,250,37.024035
0.92665505,250,37.02404
0.9018108,250,37.024045
0.748924,250,37.02405
1.0565351,250,37.024054
0.92948717,250,37.024063
1.1735599,250,37.024067
0.8357994,250,37.024072
1.4327853,250,37.024076
0.9466857,250,37.024081
0.9608212,250,37.024086
0.8074084,250,37.024091
0.89428604,250,37.024096
0.71400553,250,37.024102
0.76842546,250,37.024107
1.0255527,250,37.024112
1.1426886,250,37.024116
0.8465383,250,37.024122
0.89327395,250,37.024126
1.0436978,250,37.024131
0.82267714,250,37.024136
1.0667051,250,37.02414
0.8994122,250,37.024145
0.74955237,250,37.02415
1.3366207,250,37.024154
1.023593,250,37.024159
0.9090401,250,37.024164
0.89157337,250,37.02417
0.9851409,250,37.024175
0.793284,250,37.02418
0.84402823,250,37.024185
0.75261855,250,37.024189
0.98017514,250,37.024194
0.9255173,250,37.024198
0.82836986,250,37.024203
1.00155,250,37.024207
0.7040105,250,37.024212
1.3647566,250,37.024217
0.7906074,250,37.024221
1.1381208,250,37.024227
0.7849129,250,37.024232
0.8611094,250,37.024237
0.736509,250,37.024241
0.8035104,250,37.024246
0.9010849,250,37.024251
0.6576142,250,37.024256
0.7727416,250,37.024261
1.0020806,250,37.024265
0.55559856,250,37.02427
0.9712402,250,37.024275
1.0370071,250,37.024279
0.92201835,250,37.024285
0.8705924,250,37.024289
0.7800177,250,37.024293
0.86829406,250,37.024298
0.99659806,250,37.024303
0.6027984,250,37.024307
0.9304371,250,37.024312
1.0468324,250,37.024317
0.85778487,250,37.024321
0.6884951,250,37.024325
1.0336043,250,37.02433
1.01723,250,37.024338
0.99119943,250,37.024343
0.910574,250,37.024348
0.92122304,250,37.024353
1.1224285,250,37.024357
0.8246983,250,37.024362
0.8029289,250,37.024366
