#{"t_start": 1747074452.409167, "env_id": "None"}
r,l,t
0.69996095,250,39.153523
0.6784592,250,39.153528
0.63986236,250,39.153533
0.6736127,250,39.153538
0.6301377,250,39.153543
0.6545545,250,39.153547
0.6865716,250,39.153555
0.69339615,250,39.153561
0.6385489,250,39.153566
0.71604955,250,39.15357
0.80405635,250,39.153575
0.8100639,250,39.153581
0.6635277,250,39.153586
0.81690127,250,39.153591
0.71272105,250,39.153596
0.7185644,250,39.153601
0.69373286,250,39.153605
0.71073467,250,39.153611
0.8263994,250,39.153616
0.65959305,250,39.153621
0.76566917,250,39.153625
0.6906544,250,39.15363
0.7626796,250,39.153635
0.6676566,250,39.153639
0.67520136,250,39.153644
0.6572799,250,39.153648
0.65432024,250,39.153653
0.74210775,250,39.153658
0.7094577,250,39.153662
0.70474094,250,39.153668
0.77408767,250,39.153673
0.64176553,250,39.153678
0.6983281,250,39.153683
0.7318518,250,39.153687
0.913977,250,39.153692
0.633582,250,39.153698
0.81474584,250,39.153703
0.6684513,250,39.153708
0.7446468,250,39.153714
0.7204502,250,39.153718
0.7483401,250,39.153723
0.6880434,250,39.153729
0.64794344,250,39.153734
0.7309538,250,39.153739
0.71736145,250,39.153744
0.6829455,250,39.153748
0.6252007,250,39.153753
0.6272189,250,39.153757
0.6948001,250,39.153762
0.7111091,250,39.153767
0.70467645,250,39.153773
0.7883724,250,39.153778
0.74025565,250,39.153784
0.6728464,250,39.153789
0.7904216,250,39.153793
0.75784814,250,39.153798
0.62057966,250,39.153804
0.81583095,250,39.153809
0.67414314,250,39.153813
0.6763557,250,39.153818
0.85992306,250,39.153823
0.6715765,250,39.153828
0.69412893,250,39.153832
0.7123496,250,39.153838
0.6772167,250,39.153843
0.69777083,250,39.153847
0.7252302,250,39.153852
0.6717987,250,39.153857
0.7617817,250,39.153861
0.6925115,250,39.153866
0.73318833,250,39.153872
0.71819466,250,39.153877
0.6684749,250,39.153882
0.6696247,250,39.153886
0.7056875,250,39.153891
0.8671744,250,39.153897
0.66728914,250,39.153901
0.66932327,250,39.153907
0.70649606,250,39.153915
0.7227039,250,39.15392
0.6398159,250,39.153925
0.6846418,250,39.153929
0.7999922,250,39.153934
0.72163975,250,39.153939
0.75481683,250,39.153944
0.6217881,250,39.153949
0.66112316,250,39.153953
0.67072105,250,39.153961
0.7339991,250,39.153965
0.78129566,250,39.15397
0.6875585,250,39.153975
0.651964,250,39.15398
0.6118464,250,39.153984
0.6799603,250,39.153989
0.76052773,250,39.153994
0.80191237,250,39.153998
